xtf_id,Address,PostCode,Municipality,Canton,BeginningOfOperation,InitialPower,TotalPower,MainCategory,SubCategory,PlantCategory,_x,_y
10164,Gässli 4,3114,Wichtrach,BE,2008-10-07,3,3,maincat_2,subcat_2,plantcat_8,2610547,1188979
10794,Diemtigtalstrasse 46,3753,Oey,BE,2008-06-27,8.4,8.4,maincat_2,subcat_2,plantcat_8,2610529,1167346
10797,Brüggelbachstrasse 9,3176,Neuenegg,BE,2008-11-20,12.5,12.5,maincat_2,subcat_2,plantcat_9,2589305,1194130
14775,Katzacker 9,3368,Bleienbach,BE,2009-11-25,4.2,4.2,maincat_2,subcat_2,plantcat_8,2623917,1225810
9366,Krankenhausweg 14,3110,Münsingen,BE,2007-07-19,2.8,2.8,maincat_2,subcat_2,plantcat_8,2609843,1191294
12661,Neuhaus 7A,3365,Grasswil,BE,2009-05-15,27,27,maincat_2,subcat_2,plantcat_9,2617067,1220459
14798,Lärchenweg 2,3700,Spiez,BE,2009-12-22,9.3,9.3,maincat_2,subcat_2,plantcat_9,2619192,1170393
9482,Dorfmattweg 30,3110,Münsingen,BE,2008-04-23,7.9,7.9,maincat_2,subcat_2,plantcat_8,2608807,1191306
12406,Mettlen 16,3780,Gstaad,BE,2009-05-26,66.96,76.84,maincat_2,subcat_2,plantcat_8,2587335,1147429
11550,Schulhausstrasse 34,3114,Wichtrach,BE,2009-02-17,5.8,5.8,maincat_2,subcat_2,plantcat_8,2610614,1188083
14807,Dorfgasse 9,3096,Oberbalm,BE,2009-12-16,45.1,45.1,maincat_2,subcat_2,plantcat_9,2597371,1191440
14808,Flurweg 9,3315,Kräiligen,BE,2011-12-14,10.3,10.3,maincat_2,subcat_2,plantcat_8,2607184,1221145
12737,Vorholzstrasse 9,3800,Unterseen,BE,2009-08-25,6.6,6.6,maincat_2,subcat_2,plantcat_9,2630827,1170484
12738,Dorf 61 / Biglerhüsi ,3434,Landiswil,BE,2009-04-16,7.1,15.87,maincat_2,subcat_2,plantcat_8,2618315,1200524
17071,Gaswerkstrasse 63,4900,Langenthal,BE,2010-06-23,36,392.5,maincat_2,subcat_2,plantcat_8,2626540,1231101
17072,Rankmattweg 22,4900,Langenthal,BE,2011-11-24,3.2,3.2,maincat_2,subcat_2,plantcat_8,2626644,1229660
17073,Butzimatt 130A,4922,Thunstetten,BE,2010-06-25,9.7,9.7,maincat_2,subcat_2,plantcat_8,2622284,1227489
11421,Fröschernweg 1,3204,Rosshäusern,BE,2008-07-13,3.2,3.2,maincat_2,subcat_2,plantcat_8,2589161,1198570
9442,Buchenweg 6,3263,Büetigen,BE,2008-01-09,11.2,11.2,maincat_2,subcat_2,plantcat_9,2592642,1217045
10865,Moosgasse 32,3067,Boll,BE,2008-04-11,13,13,maincat_2,subcat_2,plantcat_8,2607894,1199917
17114,Les Grands-Champs,2715,Monible,BE,2011-12-14,161.7,161.7,maincat_2,subcat_2,plantcat_9,2582438,1236795
10237,Schulstrasse 9,3423,Ersigen,BE,2007-08-20,17.5,17.5,maincat_2,subcat_2,plantcat_8,2612176,1215963
17119,Wilstrasse 52,3114,Wichtrach,BE,2011-06-22,5.5,5.5,maincat_2,subcat_2,plantcat_8,2612115,1188104
10149,Schulhausstrasse 19,3855,Brienz,BE,2007-08-24,7.9,7.9,maincat_2,subcat_2,plantcat_8,2645412,1178336
13218,Galgenfeldweg 16,3006,Bern,BE,2017-06-16,3900,3900,maincat_1,subcat_1,plantcat_2,2602603,1200361
10259,Feldweg 140,3088,Rüeggisberg,BE,2008-10-17,6.3,6.3,maincat_2,subcat_2,plantcat_8,2600414,1185748
10260,Schürmattweg 19,3634,Thierachern,BE,2008-04-18,6.5,14.3,maincat_2,subcat_2,plantcat_8,2609968,1177689
17172,Im äusseren Dorf 1060A,3825,Mürren,BE,2012-05-23,9.8,9.8,maincat_2,subcat_2,plantcat_8,2635003,1156656
17239,Breite 101 D,3204,Rosshäusern,BE,2011-12-20,81.2,81.2,maincat_2,subcat_2,plantcat_9,2588904,1198838
12838,Moos 176,3534,Signau,BE,2009-06-12,14.4,14.4,maincat_2,subcat_2,plantcat_8,2621482,1195950
10687,Pfadiweg 27,3098,Köniz,BE,2006-05-10,10.5,10.5,maincat_2,subcat_2,plantcat_9,2597849,1196274
17265,Bretin 4,2608,Courtelary,BE,2010-07-26,1.9,1.9,maincat_2,subcat_2,plantcat_9,2571965,1225348
17269,Länggasse 100,3063,Ittigen,BE,2010-04-14,428.6,428.6,maincat_2,subcat_2,plantcat_8,2602601,1203851
10692,Sonnrain 5,3110,Münsingen,BE,2008-06-30,4.5,4.5,maincat_2,subcat_2,plantcat_8,2609863,1192221
13214,Sumpf 8c,3628,Oberstocken,BE,2012-08-24,110,110,maincat_1,subcat_1,plantcat_5,2608818,1173229
17283,Untere Riedstrasse 31 (Parz. 1312),3780,Gstaad,BE,2009-08-21,5.28,10.78,maincat_2,subcat_2,plantcat_8,2587858,1147039
17285,Oberdorfstrasse 9,3662,Seftigen,BE,2010-06-20,2.8,2.8,maincat_2,subcat_2,plantcat_8,2607779,1181874
9703,Hinter Ebnit 459,3436,Zollbrück,BE,2009-03-25,83.2,96.5,maincat_2,subcat_2,plantcat_8,2624242,1201755
9375,Thanbodenstrasse 17,3132,Riggisberg,BE,2006-08-10,14.8,14.8,maincat_2,subcat_2,plantcat_8,2602104,1183889
12657,Im Obermoos 6,3067,Boll,BE,2009-04-30,10.7,13.36,maincat_2,subcat_2,plantcat_9,2607558,1200856
10672,Längacker 1,3148,Lanzenhäusern,BE,2008-07-19,6.9,6.9,maincat_2,subcat_2,plantcat_8,2595427,1188460
12407,Uferweg 5,2560,Nidau,BE,2009-05-27,35.3,35.3,maincat_2,subcat_2,plantcat_8,2584759,1219807
17300,Steinweg 7,3084,Wabern,BE,2008-10-29,5.4,5.4,maincat_2,subcat_2,plantcat_9,2599990,1197586
17306,Luzernstrasse 71,4950,Huttwil,BE,2011-12-23,6.7,6.7,maincat_2,subcat_2,plantcat_8,2632099,1218291
9355,Stegacker 4,3624,Goldiwil (Thun),BE,2007-06-20,10.2,10.2,maincat_2,subcat_2,plantcat_8,2616620,1178496
17312,Blumensteinstrasse 2,3636,Längenbühl,BE,2011-10-31,29.6,29.6,maincat_2,subcat_2,plantcat_9,2607395,1177507
11419,Burgackerweg 8,3629,Jaberg,BE,2008-07-08,6.8,6.8,maincat_2,subcat_2,plantcat_8,2609943,1185359
17333,Chasseralweg 8,2554,Meinisberg,BE,2012-09-11,7,7,maincat_2,subcat_2,plantcat_8,2592961,1222927
9393,Hofen,3713,Reichenbach,BE,2006-03-01,16,16,maincat_2,subcat_4,plantcat_11,2619592,1164098
10712,Hintermatt 14,3624,Goldiwil,BE,2009-01-09,29.5,29.5,maincat_2,subcat_2,plantcat_8,2618787,1179090
15614,Sandstrasse 5,3302,Moosseedorf,BE,2008-11-21,37.94,50.22,maincat_2,subcat_2,plantcat_9,2603383,1207221
12847,Kienstrasse 31,3713,Reichenbach im Kandertal,BE,2009-06-04,411.2,411.2,maincat_2,subcat_2,plantcat_8,2619179,1162773
11297,Spittelweg 2,3600,Thun,BE,2008-09-26,9.3,9.3,maincat_2,subcat_2,plantcat_8,2615037,1179086
14774,Alpenstrasse 49,3045,Meikirch,BE,2010-04-09,5.3,5.3,maincat_2,subcat_2,plantcat_9,2594937,1207017
14759,Freiburgstrasse 367,3018,Bern,BE,2009-08-04,2.8,2.8,maincat_2,subcat_2,plantcat_8,2596657,1198314
14757,Gurtenweg 6,3084,Wabern,BE,2009-08-10,3.15,19.76,maincat_2,subcat_2,plantcat_8,2600017,1197591
10730,Höheweg 10a,3550,Langnau,BE,2009-01-02,30.24,147.37,maincat_2,subcat_2,plantcat_8,2626800,1198830
11339,Dorfstrasse 55,3706,Leissigen,BE,2009-02-05,3.1,3.1,maincat_2,subcat_2,plantcat_8,2625267,1167092
10783,Schönbergstrasse 36A,3654,Gunten,BE,2008-09-24,6.13,29.89,maincat_2,subcat_2,plantcat_9,2619954,1173726
14848,Beundenweg 15,3235,Erlach,BE,2010-10-20,4.3,4.3,maincat_2,subcat_2,plantcat_8,2574271,1210015
12129,Weier 18,3096,Oberbalm,BE,2009-02-20,96.2,96.2,maincat_2,subcat_2,plantcat_8,2596881,1192028
9874,Moosegg 257C,3438,Lauperswil,BE,2006-01-03,2.2,2.2,maincat_2,subcat_2,plantcat_9,2620950,1200038
15370,Weinstegen 189,4936,Kleindietwil,BE,2011-09-06,11,11,maincat_2,subcat_2,plantcat_8,2625961,1221919
12625,Eggenschwand 216A,3718,Kandersteg,BE,2009-10-03,2155,2155,maincat_1,subcat_1,plantcat_2,2617080,1147230
15364,Dicki 194,3415,Hasle-Rüegsau,BE,2011-10-28,629.7,629.7,maincat_2,subcat_2,plantcat_8,2616330,1206313
11462,Höhenstrasse 52,2562,Port,BE,2007-10-02,8.1,8.1,maincat_2,subcat_2,plantcat_8,2586263,1218038
12411,Im Brand,3785,Gsteig b. Gstaad,BE,2009-04-30,16.3,20.9,maincat_2,subcat_2,plantcat_9,2586628,1137119
15292,Birkenweg 4,4922,Bützberg,BE,2009-09-04,3.2,3.2,maincat_2,subcat_2,plantcat_8,2622734,1229872
15282,Auf der Mauer 6,3703,Aeschi bei Spiez,BE,2010-06-18,101.6,101.6,maincat_2,subcat_2,plantcat_9,2619527,1166782
10761,Trogenstrasse 4,3653,Oberhofen,BE,2008-04-30,2.7,2.7,maincat_2,subcat_2,plantcat_8,2617763,1175811
9395,La Chaux-d'Abel 70,2333,La Ferrière,BE,2008-04-17,52.8,52.8,maincat_2,subcat_2,plantcat_8,2562123,1224562
11301,Brückreutiweg 109,3110,Münsingen,BE,2008-05-16,3.8,3.8,maincat_2,subcat_2,plantcat_8,2608422,1191134
11491,Friedenauweg 7,3604,Thun,BE,2008-09-01,2.1,2.1,maincat_2,subcat_2,plantcat_8,2614510,1175662
11304,Gasse 31,2553,Safnern,BE,2008-04-29,6.3,6.3,maincat_2,subcat_2,plantcat_8,2591579,1221766
11492,Blümlisalpstrasse 14 c,3600,Thun,BE,2008-11-26,2.1,2.1,maincat_2,subcat_2,plantcat_8,2614385,1177674
15544,Hauptstrasse 8,3671,Herbligen,BE,2011-11-20,26.4,77.46,maincat_2,subcat_2,plantcat_9,2612881,1186157
11479,Borisried 217a,3096,Oberbalm,BE,2009-01-19,46.2,46.2,maincat_2,subcat_2,plantcat_8,2597382,1189211
12835,Professoreistrasse 10,3629,Kiesen,BE,2009-05-07,197.9,197.9,maincat_2,subcat_2,plantcat_8,2610904,1185185
15412,Rubigenstrasse 66,3123,Belp,BE,2011-12-22,14.3,14.3,maincat_2,subcat_2,plantcat_8,2605224,1193392
12860,chemin des Saigneules 25,2515,Prêles,BE,2009-06-30,5.3,5.3,maincat_2,subcat_2,plantcat_8,2576092,1215929
13230,Blatta 105b,3807,Iseltwald,BE,2014-07-01,7.5,7.5,maincat_1,subcat_1,plantcat_5,2639770,1172600
15403,Brüschrain 48,3365,Grasswil,BE,2011-05-28,5.9,5.9,maincat_2,subcat_2,plantcat_8,2617787,1221206
10293,Impasse des Coquelicots 4,2615,Sonvilier,BE,2007-08-30,2.3,2.3,maincat_2,subcat_2,plantcat_9,2564298,1221225
10882,Gässli 23,3232,Ins,BE,2008-08-16,9.3,9.3,maincat_2,subcat_2,plantcat_8,2574573,1205848
12065,Ländtestrasse 7,2503,Biel,BE,2008-06-19,3.2,3.2,maincat_2,subcat_2,plantcat_8,2584572,1220422
15689,Staatsstrasse 67,3049,Säriswil,BE,2009-02-04,7.6,8.93,maincat_2,subcat_2,plantcat_9,2592971,1204800
17448,Rue du Temple 5,2608,Courtelary,BE,2008-08-01,3.3,3.3,maincat_2,subcat_2,plantcat_9,2571985,1225491
14592,Kirchgasse 21,3267,Seedorf,BE,2008-09-01,6.3,6.3,maincat_2,subcat_2,plantcat_8,2590387,1209154
12861,Buchstrasse 20 d,3205,Gümmenen,BE,2009-07-24,29,29,maincat_2,subcat_2,plantcat_8,2586805,1199886
17453,Längi 10,4938,Rohrbachgraben,BE,2012-03-04,38.6,38.6,maincat_2,subcat_2,plantcat_9,2627356,1219226
17456,Gammenthal,3454,Sumiswald,BE,2009-11-09,10.3,10.3,maincat_2,subcat_2,plantcat_9,2624391,1208947
17463,La Tannerie 10b,2608,Courtelary,BE,2008-10-01,3.3,3.3,maincat_2,subcat_2,plantcat_9,2571995,1225470
10799,Wydigasse 12,3772,St. Stephan,BE,2008-06-09,5.1,14.17,maincat_2,subcat_2,plantcat_8,2596669,1151445
11289,Stockweg 18,2557,Studen,BE,2008-09-17,3.4,3.4,maincat_2,subcat_2,plantcat_8,2589108,1218562
11966,Schneckenbühlstrasse 15,3652,Hilterfingen,BE,2008-11-21,3.23,6.91,maincat_2,subcat_2,plantcat_8,2617110,1175935
17482,Schulstrasse 6,3770,Zweisimmen,BE,2012-06-05,76.44,255.99,maincat_2,subcat_2,plantcat_9,2595284,1155654
17502,Aumattweg 42,3613,Steffisburg,BE,2011-09-09,2,2,maincat_2,subcat_2,plantcat_8,2613975,1180520
10172,Rue des Prés 11,2720,Tramelan,BE,2007-11-12,11.8,11.8,maincat_2,subcat_2,plantcat_8,2573948,1230217
9520,Sous les Roches,2605,Sonceboz-Sombeval,BE,2006-02-16,353,353,maincat_1,subcat_1,plantcat_2,2580730,1226519
17602,Bergli 83,3754,Diemtigen,BE,2011-12-05,92.6,92.6,maincat_2,subcat_2,plantcat_8,2608634,1166455
12862,Schubertstrasse 2a,3600,Thun,BE,2009-09-03,4.1,4.1,maincat_2,subcat_2,plantcat_8,2614695,1177623
11928,Les Plans Dessous 282,2534,Les Prés d'Orvin,BE,2008-09-15,2,2,maincat_2,subcat_2,plantcat_8,2579859,1222555
10399,Harderstrasse 14,3800,Interlaken,BE,2008-01-11,11.6,11.6,maincat_2,subcat_2,plantcat_8,2631915,1170667
10950,Raama 31,3623,Teuffenthal b. Thun,BE,2007-05-23,4.7,4.7,maincat_2,subcat_2,plantcat_9,2620671,1179851
12869,Höhe 320g,3534,Signau,BE,2009-08-04,14,14,maincat_2,subcat_2,plantcat_9,2623162,1193703
17747,Aegelseeweg 11,3052,Zollikofen,BE,2009-12-09,9.4,9.4,maincat_2,subcat_2,plantcat_8,2600595,1205867
11294,Wallisgässli 327B,3785,Gsteig b. Gstaad,BE,2008-05-05,2.8,2.8,maincat_2,subcat_2,plantcat_8,2586972,1137024
10771,Haubenstrasse 12,3672,Oberdiessbach,BE,2008-12-01,2.1,2.1,maincat_2,subcat_2,plantcat_8,2613362,1187427
14726,Feldweg 29,3264,Diessbach bei Büren,BE,2011-07-25,353,353,maincat_2,subcat_4,plantcat_11,2593948,1216775
15012,Unterdorf 22,3267,Seedorf BE,BE,2011-11-05,28.88,67.04,maincat_2,subcat_2,plantcat_9,2589901,1209160
10904,Bel-Air-Weg 7,3600,Thun,BE,2008-05-28,6.1,7.88,maincat_2,subcat_2,plantcat_9,2614947,1178866
15057,Maiacher 28,3324,Mötschwil,BE,2011-12-08,64,64,maincat_2,subcat_2,plantcat_8,2610443,1210532
15034,Murzelenstrasse 20,3034,Murzelen,BE,2008-09-08,8.9,10.5,maincat_2,subcat_2,plantcat_9,2590843,1203405
15023,Stutz 2,3700,Spiez,BE,2008-09-05,4.7,4.7,maincat_2,subcat_2,plantcat_8,2617408,1170284
17376,Spychweid 1,3476,Oschwand,BE,2010-10-08,56.1,56.1,maincat_2,subcat_2,plantcat_8,2620301,1221838
9701,Staatsstrasse 42,3049,Säriswil,BE,2008-07-14,28.2,41.04,maincat_2,subcat_2,plantcat_9,2593117,1204883
17429,Wysshölzlistrasse 16,3360,Herzogenbuchsee,BE,2010-11-11,4.8,4.8,maincat_2,subcat_2,plantcat_9,2620884,1225913
