GKODE,GKODN
2604324.853,1207851.295
2621254.105,1174099.505
2588962.019,1217273.689
2577030.276,1218438.844
2611821.244,1176768.895
2633643.445,1171750.316
2640637.396,1166040.039
2613916.104,1178101.737
2632511.322,1175350.627
2627111.643,1223375.332
2644865.135,1178572.561
2594516.785,1171828.756
2594819.269,1225593.837
2638184.364,1165293.867
2584835.586,1195507.458
2635112.878,1170641.869
2618570.902,1154550.215
2622184.707,1223906.973
2588529.28,1231782.762
2603050.778,1207376.027
2585240.338,1215028.904
2614708.236,1176697.247
2567424.135,1226416.67
2598528.432,1236851.452
2587540.175,1221425.145
2602928.464,1214846.072
2621483.322,1174649.148
2594573.0,1225818.0
2632531.024,1170551.383
2602062.274,1204555.615
2580235.444,1227218.384
2574635.0,1206104.0
2646386.642,1163941.398
2646198.637,1164350.695
2607781.023,1197718.079
2581937.781,1218564.824
2593362.59,1209786.934
2584776.445,1218795.998
2642512.53,1163906.588
2593284.902,1185223.707
2594337.527,1206451.546
2594755.224,1226031.433
2601089.693,1199646.545
2603416.948,1216495.264
2615667.68,1158426.473
2624505.152,1199586.97
2621867.132,1182331.515
2600911.293,1201480.808
2614025.314,1212402.847
2622337.561,1208884.27
2566880.622,1221863.085
2612491.969,1220375.792
2568133.89,1223404.829
2621500.797,1197615.185
2625606.699,1167164.155
2586922.678,1148739.407
2620446.452,1184858.097
2587262.971,1138521.348
2597935.725,1218906.28
2626354.053,1230122.495
2611855.664,1177062.577
2646011.013,1179481.777
2618222.0,1205643.0
2598727.287,1195917.466
2626317.682,1181915.213
2609445.297,1206731.482
2612210.287,1179178.995
2631615.151,1170911.774
2614950.882,1159133.087
2627843.422,1202650.114
2622785.773,1232348.868
2594925.553,1225504.529
2632824.572,1170465.166
2597783.251,1189883.159
2607863.527,1194048.736
2599340.604,1223870.175
2574003.596,1230265.425
2615579.251,1193815.693
2600720.67,1199084.42
2616589.798,1211971.141
2616961.655,1194335.914
2616433.697,1158576.222
2624510.129,1227934.554
2604902.699,1203141.364
2626137.314,1229899.958
2610461.553,1197214.494
2608259.409,1187625.159
2595212.796,1226308.005
2600361.871,1206756.778
2603076.455,1198047.884
2645050.042,1164033.001
2630198.407,1214194.594
2590170.267,1193841.955
2609767.203,1192047.016
2593891.815,1182373.655
2573700.129,1212471.917
2635502.915,1170801.862
2625296.492,1228749.553
2586635.676,1196434.838
2595256.17,1236268.214
2602792.312,1192077.711
2585804.408,1221262.374
2600606.488,1202453.662
2587421.247,1210811.801
2604496.57,1151464.178
2600395.176,1183968.531
2620874.349,1167090.444
2603958.225,1189856.663
2616763.806,1234187.559
2587633.32,1233454.844
2607793.901,1186238.379
2592948.507,1198005.909
2631566.594,1210155.499
2587991.172,1232191.185
2582040.072,1230523.191
2601872.659,1199101.5
2633482.828,1171632.489
2622025.619,1224260.89
2589524.0,1193699.0
2595937.463,1192041.328
2602825.467,1204339.352
2595097.695,1225399.997
2644362.835,1164061.227
2569255.178,1207174.056
2627264.173,1231788.009
2637333.78,1159584.564
2613007.174,1181315.43
2609614.914,1187250.054
2592754.97,1218977.033
2600862.355,1199565.578
2604550.083,1203741.008
2608348.96,1200178.629
2650698.576,1178099.545
2601263.283,1197648.281
2598690.344,1197781.156
2618872.426,1183118.317
2633349.541,1187240.329
2618965.283,1182196.134
2607580.208,1181768.829
2598679.844,1198523.079
2606948.928,1200816.532
2622566.465,1202704.408
2602766.037,1184440.953
2610743.09,1204534.81
2617447.683,1163544.038
2596236.0,1141747.0
2581556.95,1230324.128
2586907.658,1222309.374
2614608.648,1197495.263
2607028.412,1200863.458
2585557.495,1219037.172
2632799.405,1168442.96
2622063.273,1201076.609
2643624.675,1165244.508
2612749.944,1234415.041
2600069.75,1201733.445
2585895.999,1220243.241
2587675.879,1221330.225
2603541.394,1166647.987
2660665.456,1172846.596
2609126.775,1216198.869
2656854.842,1175321.719
2615360.739,1170144.201
