x,y
2587426,1210846
2587476,1210876
2587387,1210904
2587479,1210908
2587484,1210939
2587464,1210939
2587453,1211041
2587439,1210647
2587267,1210500
2586727,1210539
2586966,1210420
2587012,1210534
2587095,1210263
2587172,1209773
2587337,1209902
2587852,1210683
2588000,1210918
2588038,1211013
2587998,1210722
2588293,1211170
2589158,1209790
2588147,1210183
2588175,1210387
2588223,1210349
2588059,1210348
2588411,1210255
2587149,1209837
2587357,1210346
2587346,1210377
2587374,1210367
2587925,1210355
2588028,1211250
2588188,1210457
2588216,1210444
2587325,1210722
2587047,1210360
2587086,1210324
2587050,1210625
2587402,1210383
2587339,1210414
2588414,1211289
2587309,1210442
2587148,1209858
2587346,1210448
2587762,1210802
2588281,1211037
2587048,1210025
2586317,1209560
2586443,1209542
2586381,1209507
2586337,1210110
2586071,1210039
2586600,1209738
2586393,1209765
2586636,1210142
2586592,1210113
2585677,1209781
2586320,1209709
2586571,1210055
2586688,1209637
2586554,1209996
2586867,1209923
2594477,1213469
2594560,1213407
2595312,1213533
2594394,1213137
2594478,1213308
2594579,1213275
2594025,1212867
2594355,1212854
2593230,1212292
2593165,1212724
2593362,1212790
2592662,1211118
2592539,1212011
2592326,1212204
2592418,1213105
2592414,1213138
2592530,1213027
2592567,1213006
2592714,1212907
2592817,1212940
2592831,1212935
2592437,1213409
2592555,1214334
2593941,1212964
2595594,1212725
2592085,1212846
2592821,1212912
2592639,1211233
2592520,1211959
2592039,1212853
2593550,1212521
2592757,1212879
2592572,1211125
2593548,1212833
2592665,1211229
2594163,1213346
2593582,1214969
2592910,1210904
2592214,1210984
2592375,1211003
2593584,1215369
2594242,1212530
2592716,1213034
2585072,1207562
2585635,1206686
2584556,1207961
2584829,1208307
2584904,1208435
2584734,1208035
2584689,1207658
2582226,1206976
2584561,1207283
2584385,1207316
2584338,1207359
2583692,1207218
2584524,1207649
2584263,1207505
2585462,1207053
2585511,1206458
2585643,1206519
2584219,1204559
2584278,1204603
2584719,1207914
2584838,1207801
2583801,1207973
2584646,1208290
2584651,1208128
2584723,1207833
2584676,1208356
2584716,1208106
2585218,1204089
2584487,1208206
2585612,1206722
2584136,1207341
2585146,1203870
2586545,1211650
2586636,1211379
2586814,1211249
2586578,1211701
2586614,1211743
2586799,1211878
2586789,1211950
2586938,1212040
2587066,1211948
2586938,1211894
2588890,1213201
2587042,1212812
2587075,1212667
2588799,1215640
2588167,1215335
2587050,1212051
2586325,1210873
2586938,1211850
2587056,1212416
2587066,1212073
2586693,1211343
2587007,1212400
2586511,1211449
2586540,1211472
2587069,1212248
2586941,1212338
2588784,1213088
2587017,1212670
2586588,1211332
2586905,1212671
2586907,1212191
2587905,1215231
2591061,1213730
2590590,1213823
2591040,1213715
2591621,1216770
2590848,1213096
2590613,1213210
2590552,1213427
2590823,1213740
2590857,1213784
2590916,1214001
2590669,1213934
2590445,1213793
2590408,1214041
2590360,1213861
2590271,1213695
2590097,1213833
2590091,1214268
2590382,1214454
2589979,1215107
2589658,1214992
2589371,1214493
2589585,1214809
2589649,1214658
2589615,1214621
2589544,1214678
2589234,1214259
2589207,1214160
2589658,1214407
2589669,1214436
2589669,1214442
2589669,1214448
2589668,1214466
2589750,1214508
2589659,1214201
2589889,1213913
2589965,1213807
2590049,1212977
2589993,1213108
2590019,1213052
2590244,1213190
2590584,1213033
2591309,1212943
2590672,1212996
2589361,1213164
2589532,1213274
2589551,1213290
2589712,1213488
2589630,1213462
2589547,1213589
2589258,1213672
2589396,1213963
2590740,1216343
2591610,1216357
2591260,1216526
2591721,1216516
2591912,1216861
2591542,1216785
2591474,1216912
2591482,1216907
2591021,1216595
2590931,1216252
2590612,1215704
2590652,1215794
2591229,1216392
2590572,1213402
2590964,1216404
2590997,1216376
2591190,1213808
2589382,1212984
2589336,1213013
2590206,1214228
2590712,1214090
2590517,1213699
2591684,1216894
2589095,1212655
2589615,1214113
2590544,1213697
2589050,1214416
2589032,1212481
2589265,1213018
2589243,1213015
2589359,1213355
2588923,1212502
2590229,1213989
2588877,1212758
2591740,1216626
2591714,1216610
2591769,1216692
2589900,1214323
2589777,1214554
2588873,1212688
2589749,1213915
2588978,1212769
2589099,1213971
2589258,1213254
2589250,1213144
2589954,1213060
2589586,1214565
2590845,1212933
2590810,1213982
2589261,1213715
2589270,1213703
2588885,1212613
2590548,1212782
2589457,1213548
2591069,1216317
2591620,1216881
2591613,1216897
2591610,1216925
2591609,1216964
2590684,1215843
2591716,1215153
2590429,1213751
2590911,1213792
2590744,1213678
2590621,1213597
2590785,1213640
2590863,1213671
2590909,1213684
2590845,1213666
2590899,1213838
2590922,1213843
2590927,1213843
2590506,1214123
2590748,1213719
2589498,1213968
2589918,1214436
2589343,1214750
2589888,1213738
2589780,1212853
2597226,1204540
2592003,1205985
2592534,1206208
2592321,1206006
2593935,1206362
2594126,1205984
2594194,1206097
2594215,1206314
2594105,1206488
2594495,1206496
2594698,1206421
2594504,1206410
2594482,1206601
2594631,1206610
2594975,1207115
2595100,1207030
2593359,1205530
2596968,1204847
2596457,1205170
2596439,1205142
2596695,1205143
2596693,1205163
2596869,1205120
2597284,1204912
2597246,1204943
2597221,1204939
2597151,1204946
2597183,1204908
2595676,1205625
2592047,1206011
2592043,1206034
2594618,1206430
2595008,1206950
2594046,1206444
2593957,1206408
2595810,1205538
2592574,1206099
2592337,1206418
